Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time
22         85549      100             1.00            2024-12-18T14:47:02.913016+08:00
17         85550      100             1.00            2024-12-18T14:47:02.934799+08:00
10         85551      106             1.06            2024-12-18T14:47:02.951177+08:00
13         85547      100             1.00            2024-12-18T14:47:02.957483+08:00
0          85552      100             1.00            2024-12-18T14:47:02.959347+08:00
21         85543      100             1.00            2024-12-18T14:47:02.984897+08:00
18         85542      100             1.00            2024-12-18T14:47:02.9744+08:00
19         85541      100             1.00            2024-12-18T14:47:02.966488+08:00
16         85540      100             1.00            2024-12-18T14:47:02.992524+08:00
4          85545      100             1.00            2024-12-18T14:47:03.011625+08:00
20         85548      102             1.02            2024-12-18T14:47:03.020472+08:00
17         85550      273             2.73            2024-12-18T14:47:03.108234+08:00
5          85544      112             1.12            2024-12-18T14:47:03.094276+08:00
23         85546      100             1.00            2024-12-18T14:47:03.07239+08:00
11         85555      102             1.02            2024-12-18T14:47:03.105934+08:00
13         85547      265             2.65            2024-12-18T14:47:03.122779+08:00
1          85554      100             1.00            2024-12-18T14:47:03.116125+08:00
3          85559      100             1.00            2024-12-18T14:47:03.118496+08:00
22         85549      325             3.25            2024-12-18T14:47:03.138802+08:00
10         85551      296             2.96            2024-12-18T14:47:03.140507+08:00
9          85558      100             1.00            2024-12-18T14:47:03.145518+08:00
2          85560      124             1.24            2024-12-18T14:47:03.149967+08:00
15         85562      100             1.00            2024-12-18T14:47:03.149888+08:00
8          85557      117             1.17            2024-12-18T14:47:03.150086+08:00
0          85552      300             3.00            2024-12-18T14:47:03.159637+08:00
12         85556      100             1.00            2024-12-18T14:47:03.152661+08:00
19         85541      298             2.98            2024-12-18T14:47:03.164666+08:00
7          85561      101             1.01            2024-12-18T14:47:03.165646+08:00
18         85542      295             2.95            2024-12-18T14:47:03.169812+08:00
16         85540      278             2.78            2024-12-18T14:47:03.170844+08:00
21         85543      293             2.93            2024-12-18T14:47:03.178105+08:00
13         85547      324             3.24            2024-12-18T14:47:03.18225+08:00
23         85546      216             2.16            2024-12-18T14:47:03.189199+08:00
5          85544      237             2.37            2024-12-18T14:47:03.218742+08:00
20         85548      301             3.01            2024-12-18T14:47:03.219472+08:00
4          85545      316             3.16            2024-12-18T14:47:03.227573+08:00
9          85558      202             2.02            2024-12-18T14:47:03.247724+08:00
17         85550      427             4.27            2024-12-18T14:47:03.262568+08:00
