Starting CPU scheduling experiment
Number of processes: 20
Total runtime: 1000 ms
Sampling interval: 100 ms
Loops per millisecond: 4003971
Loops per interval: 400397100
Estimating workload which takes just one millisecond...
Start time: 2024-12-19T13:23:27.820862+08:00

Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time                  
4          40476      100             10.00           2024-12-19T13:23:28.577129+08:00
4          40476      200             20.00           2024-12-19T13:23:28.732674+08:00
11         40477      100             10.00           2024-12-19T13:23:28.683557+08:00
14         40471      100             10.00           2024-12-19T13:23:28.721635+08:00
6          40470      100             10.00           2024-12-19T13:23:28.733856+08:00
5          40474      100             10.00           2024-12-19T13:23:28.732183+08:00
7          40469      100             10.00           2024-12-19T13:23:28.734256+08:00
10         40472      100             10.00           2024-12-19T13:23:28.739253+08:00
16         40475      200             20.00           2024-12-19T13:23:28.764588+08:00
12         40473      200             20.00           2024-12-19T13:23:28.767872+08:00
11         40477      200             20.00           2024-12-19T13:23:28.795285+08:00
8          40479      100             10.00           2024-12-19T13:23:28.822722+08:00
12         40473      300             30.00           2024-12-19T13:23:28.824322+08:00
16         40475      300             30.00           2024-12-19T13:23:28.860504+08:00
4          40476      300             30.00           2024-12-19T13:23:28.867598+08:00
7          40469      200             20.00           2024-12-19T13:23:28.868586+08:00
5          40474      200             20.00           2024-12-19T13:23:28.873671+08:00
14         40471      200             20.00           2024-12-19T13:23:28.873829+08:00
6          40470      200             20.00           2024-12-19T13:23:28.874675+08:00
10         40472      200             20.00           2024-12-19T13:23:28.876503+08:00
2          40482      200             20.00           2024-12-19T13:23:28.834536+08:00
9          40478      200             20.00           2024-12-19T13:23:28.840269+08:00
19         40468      300             30.00           2024-12-19T13:23:28.840565+08:00
15         40480      100             10.00           2024-12-19T13:23:28.85682+08:00
3          40484      100             10.00           2024-12-19T13:23:28.875956+08:00
1          40487      100             10.00           2024-12-19T13:23:28.860149+08:00
1          40487      100             10.00           2024-12-19T13:23:28.892252+08:00
13         40483      100             10.00           2024-12-19T13:23:28.87683+08:00
17         40485      100             10.00           2024-12-19T13:23:28.879411+08:00
0          40486      100             10.00           2024-12-19T13:23:28.886339+08:00
8          40479      200             20.00           2024-12-19T13:23:28.932418+08:00
19         40468      400             40.00           2024-12-19T13:23:28.934887+08:00
12         40473      400             40.00           2024-12-19T13:23:28.935243+08:00
18         40481      200             20.00           2024-12-19T13:23:28.904201+08:00
10         40472      300             30.00           2024-12-19T13:23:28.953313+08:00
11         40477      400             40.00           2024-12-19T13:23:28.954907+08:00
2          40482      300             30.00           2024-12-19T13:23:28.956087+08:00
7          40469      400             40.00           2024-12-19T13:23:28.971197+08:00
16         40475      400             40.00           2024-12-19T13:23:28.975204+08:00
9          40478      300             30.00           2024-12-19T13:23:28.989841+08:00
8          40479      300             30.00           2024-12-19T13:23:29.005139+08:00
5          40474      300             30.00           2024-12-19T13:23:29.005239+08:00
14         40471      300             30.00           2024-12-19T13:23:29.007808+08:00
11         40477      500             50.00           2024-12-19T13:23:29.013135+08:00
3          40484      200             20.00           2024-12-19T13:23:29.017953+08:00
15         40480      200             20.00           2024-12-19T13:23:29.02017+08:00
6          40470      300             30.00           2024-12-19T13:23:29.02211+08:00
13         40483      200             20.00           2024-12-19T13:23:29.026192+08:00
18         40481      300             30.00           2024-12-19T13:23:29.041707+08:00
12         40473      500             50.00           2024-12-19T13:23:29.04192+08:00
17         40485      200             20.00           2024-12-19T13:23:29.04552+08:00
4          40476      400             40.00           2024-12-19T13:23:29.050484+08:00
0          40486      200             20.00           2024-12-19T13:23:29.06178+08:00
19         40468      500             50.00           2024-12-19T13:23:29.062402+08:00
7          40469      500             50.00           2024-12-19T13:23:29.071269+08:00
11         40477      600             60.00           2024-12-19T13:23:29.072246+08:00
